anchor_id,partition,event_family,signal_bar_open_utc,decision_available_utc,mode,source_status,source_reason,source,source_as_of_utc,active,filing_count,severity,base_form,category,age_hours,capacity_only,available_at_utc,accession,direction_claim
OPT-LONG-1e268be0e8a395e1:1726072200000,DISCOVERY,THESIS_PRESSURE,2024-09-11T16:30:00+00:00,2024-09-11T16:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-1e268be0e8a395e1:1726074000000,DISCOVERY,CONTINUATION,2024-09-11T17:00:00+00:00,2024-09-11T17:15:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-1e268be0e8a395e1:1726074000000,DISCOVERY,CONTINUATION,2024-09-11T17:00:00+00:00,2024-09-11T17:15:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-1e268be0e8a395e1:1726083000000,DISCOVERY,THESIS_PRESSURE,2024-09-11T19:30:00+00:00,2024-09-11T19:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-1e268be0e8a395e1:1726083000000,DISCOVERY,THESIS_PRESSURE,2024-09-11T19:30:00+00:00,2024-09-11T19:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-1e268be0e8a395e1:1726237800000,DISCOVERY,CONTINUATION,2024-09-13T14:30:00+00:00,2024-09-13T14:45:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-1e268be0e8a395e1:1726237800000,DISCOVERY,CONTINUATION,2024-09-13T14:30:00+00:00,2024-09-13T14:45:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-f4e336319c8a14b5:1725371100000,DISCOVERY,THESIS_PRESSURE,2024-09-03T13:45:00+00:00,2024-09-03T14:00:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-f4e336319c8a14b5:1725371100000,DISCOVERY,THESIS_PRESSURE,2024-09-03T13:45:00+00:00,2024-09-03T14:00:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-f4e336319c8a14b5:1725375600000,DISCOVERY,THESIS_PRESSURE,2024-09-03T15:00:00+00:00,2024-09-03T15:15:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-f4e336319c8a14b5:1725375600000,DISCOVERY,THESIS_PRESSURE,2024-09-03T15:00:00+00:00,2024-09-03T15:15:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-f4e336319c8a14b5:1725911100000,DISCOVERY,ENTRY_FORMING,2024-09-09T19:45:00+00:00,2024-09-09T20:00:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-f4e336319c8a14b5:1725911100000,DISCOVERY,ENTRY_FORMING,2024-09-09T19:45:00+00:00,2024-09-09T20:00:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
OPT-LONG-f4e336319c8a14b5:1725984900000,DISCOVERY,THESIS_PRESSURE,2024-09-10T16:15:00+00:00,2024-09-10T16:30:00+00:00,PUBLIC_ACCEPTANCE,INACTIVE,COVERED,sec-submissions-and-archives,2026-08-14T00:00:00Z,False,0,,,,,False,,,
OPT-LONG-f4e336319c8a14b5:1725984900000,DISCOVERY,THESIS_PRESSURE,2024-09-10T16:15:00+00:00,2024-09-10T16:30:00+00:00,OPERATIONAL_SEEN,SOURCE_UNAVAILABLE,COVERAGE_NOT_COMPLETE,sec-submissions-and-archives,2026-08-14T00:00:00Z,,,,,,,,,,
